Price,Close,High,Low,Open,Volume,Year,Month,Day,Price Movement,Open_0,High_0,Low_0,Close_0,Volume_0,Open_1,High_1,Low_1,Close_1,Volume_1,Open_2,High_2,Low_2,Close_2,Volume_2,Open_3,High_3,Low_3,Close_3,Volume_3,Open_4,High_4,Low_4,Close_4,Volume_4,Open_5,High_5,Low_5,Close_5,Volume_5,Open_6,High_6,Low_6,Close_6,Volume_6,Today_Open
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29,239.0971221923828,239.5965730646729,233.75299176206667,233.86287156365174,45486100,2025,1,29,False,233.86287156365174,239.5965730646729,233.75299176206667,239.0971221923828,45486100,230.59647127201654,239.9262098046868,230.55650666713984,237.99832153320312,75707600.0,223.77396171163917,231.89502211760887,223.73399710835045,229.6075439453125,94863400.0,224.53312753788666,225.38220009721186,221.16683361690275,222.5353240966797,54697900.0,224.493183388126,226.78066167492807,222.05586069453574,223.41436767578125,60234800.0,219.54859611049605,223.87384226456615,219.54859611049605,223.58416748046875,64126500.0,223.75398423747347,224.17352112887505,219.13906319002535,222.39547729492188,98070400.0,233.86287156365174
2025-01-30,237.3290557861328,240.52553823889048,236.94948349745044,238.40787147181928,55658300,2025,1,30,False,238.40787147181928,240.52553823889048,236.94948349745044,237.3290557861328,55658300,233.86287156365174,239.5965730646729,233.75299176206667,239.0971221923828,45486100.0,230.59647127201654,239.9262098046868,230.55650666713984,237.99832153320312,75707600.0,223.77396171163917,231.89502211760887,223.73399710835045,229.6075439453125,94863400.0,224.53312753788666,225.38220009721186,221.16683361690275,222.5353240966797,54697900.0,224.493183388126,226.78066167492807,222.05586069453574,223.41436767578125,60234800.0,219.54859611049605,223.87384226456615,219.54859611049605,223.58416748046875,64126500.0,238.40787147181928
2025-01-31,235.74081420898438,246.91852728753366,233.18362815459494,246.91852728753366,101075100,2025,1,31,False,246.91852728753366,246.91852728753366,233.18362815459494,235.74081420898438,101075100,238.40787147181928,240.52553823889048,236.94948349745044,237.3290557861328,55658300.0,233.86287156365174,239.5965730646729,233.75299176206667,239.0971221923828,45486100.0,230.59647127201654,239.9262098046868,230.55650666713984,237.99832153320312,75707600.0,223.77396171163917,231.89502211760887,223.73399710835045,229.6075439453125,94863400.0,224.53312753788666,225.38220009721186,221.16683361690275,222.5353240966797,54697900.0,224.493183388126,226.78066167492807,222.05586069453574,223.41436767578125,60234800.0,246.91852728753366
2025-02-03,227.75958251953125,231.5753945205246,225.45212191586603,229.73741895869952,73063300,2025,2,3,True,229.73741895869952,231.5753945205246,225.45212191586603,227.75958251953125,73063300,246.91852728753366,246.91852728753366,233.18362815459494,235.74081420898438,101075100.0,238.40787147181928,240.52553823889048,236.94948349745044,237.3290557861328,55658300.0,233.86287156365174,239.5965730646729,233.75299176206667,239.0971221923828,45486100.0,230.59647127201654,239.9262098046868,230.55650666713984,237.99832153320312,75707600.0,223.77396171163917,231.89502211760887,223.73399710835045,229.6075439453125,94863400.0,224.53312753788666,225.38220009721186,221.16683361690275,222.5353240966797,54697900.0,229.73741895869952
2025-02-04,232.54432678222656,232.87396618357337,226.40107197135944,227.00041910872287,45067300,2025,2,4,True,227.00041910872287,232.87396618357337,226.40107197135944,232.54432678222656,45067300,229.73741895869952,231.5753945205246,225.45212191586603,227.75958251953125,73063300.0,246.91852728753366,246.91852728753366,233.18362815459494,235.74081420898438,101075100.0,238.40787147181928,240.52553823889048,236.94948349745044,237.3290557861328,55658300.0,233.86287156365174,239.5965730646729,233.75299176206667,239.0971221923828,45486100.0,230.59647127201654,239.9262098046868,230.55650666713984,237.99832153320312,75707600.0,223.77396171163917,231.89502211760887,223.73399710835045,229.6075439453125,94863400.0,227.00041910872287
2025-02-05,232.21469116210938,232.4144684638066,228.0193068583431,228.27901582634638,39620300,2025,2,5,True,228.27901582634638,232.4144684638066,228.0193068583431,232.21469116210938,39620300,227.00041910872287,232.87396618357337,226.40107197135944,232.54432678222656,45067300.0,229.73741895869952,231.5753945205246,225.45212191586603,227.75958251953125,73063300.0,246.91852728753366,246.91852728753366,233.18362815459494,235.74081420898438,101075100.0,238.40787147181928,240.52553823889048,236.94948349745044,237.3290557861328,55658300.0,233.86287156365174,239.5965730646729,233.75299176206667,239.0971221923828,45486100.0,230.59647127201654,239.9262098046868,230.55650666713984,237.99832153320312,75707600.0,228.27901582634638
2025-02-06,232.9638671875,233.54323203112875,230.17692277145878,231.0359788855247,29925300,2025,2,6,False,231.0359788855247,233.54323203112875,230.17692277145878,232.9638671875,29925300,228.27901582634638,232.4144684638066,228.0193068583431,232.21469116210938,39620300.0,227.00041910872287,232.87396618357337,226.40107197135944,232.54432678222656,45067300.0,229.73741895869952,231.5753945205246,225.45212191586603,227.75958251953125,73063300.0,246.91852728753366,246.91852728753366,233.18362815459494,235.74081420898438,101075100.0,238.40787147181928,240.52553823889048,236.94948349745044,237.3290557861328,55658300.0,233.86287156365174,239.5965730646729,233.75299176206667,239.0971221923828,45486100.0,231.0359788855247
2025-02-07,227.3800048828125,233.74300400322835,227.0104008794231,232.3445476829273,39707200,2025,2,7,True,232.3445476829273,233.74300400322835,227.0104008794231,227.3800048828125,39707200,231.0359788855247,233.54323203112875,230.17692277145878,232.9638671875,29925300.0,228.27901582634638,232.4144684638066,228.0193068583431,232.21469116210938,39620300.0,227.00041910872287,232.87396618357337,226.40107197135944,232.54432678222656,45067300.0,229.73741895869952,231.5753945205246,225.45212191586603,227.75958251953125,73063300.0,246.91852728753366,246.91852728753366,233.18362815459494,235.74081420898438,101075100.0,238.40787147181928,240.52553823889048,236.94948349745044,237.3290557861328,55658300.0,232.3445476829273
2025-02-10,227.64999389648438,230.58999633789062,227.1999969482422,229.57000732421875,33115600,2025,2,10,True,229.57000732421875,230.58999633789062,227.1999969482422,227.64999389648438,33115600,232.3445476829273,233.74300400322835,227.0104008794231,227.3800048828125,39707200.0,231.0359788855247,233.54323203112875,230.17692277145878,232.9638671875,29925300.0,228.27901582634638,232.4144684638066,228.0193068583431,232.21469116210938,39620300.0,227.00041910872287,232.87396618357337,226.40107197135944,232.54432678222656,45067300.0,229.73741895869952,231.5753945205246,225.45212191586603,227.75958251953125,73063300.0,246.91852728753366,246.91852728753366,233.18362815459494,235.74081420898438,101075100.0,229.57000732421875
2025-02-11,232.6199951171875,235.22999572753906,228.1300048828125,228.1999969482422,53718400,2025,2,11,True,228.1999969482422,235.22999572753906,228.1300048828125,232.6199951171875,53718400,229.57000732421875,230.58999633789062,227.1999969482422,227.64999389648438,33115600.0,232.3445476829273,233.74300400322835,227.0104008794231,227.3800048828125,39707200.0,231.0359788855247,233.54323203112875,230.17692277145878,232.9638671875,29925300.0,228.27901582634638,232.4144684638066,228.0193068583431,232.21469116210938,39620300.0,227.00041910872287,232.87396618357337,226.40107197135944,232.54432678222656,45067300.0,229.73741895869952,231.5753945205246,225.45212191586603,227.75958251953125,73063300.0,228.1999969482422
2025-02-12,236.8699951171875,236.9600067138672,230.67999267578125,231.1999969482422,45243300,2025,2,12,True,231.1999969482422,236.9600067138672,230.67999267578125,236.8699951171875,45243300,228.1999969482422,235.22999572753906,228.1300048828125,232.6199951171875,53718400.0,229.57000732421875,230.58999633789062,227.1999969482422,227.64999389648438,33115600.0,232.3445476829273,233.74300400322835,227.0104008794231,227.3800048828125,39707200.0,231.0359788855247,233.54323203112875,230.17692277145878,232.9638671875,29925300.0,228.27901582634638,232.4144684638066,228.0193068583431,232.21469116210938,39620300.0,227.00041910872287,232.87396618357337,226.40107197135944,232.54432678222656,45067300.0,231.1999969482422
2025-02-13,241.52999877929688,242.33999633789062,235.57000732421875,236.91000366210938,53614100,2025,2,13,True,236.91000366210938,242.33999633789062,235.57000732421875,241.52999877929688,53614100,231.1999969482422,236.9600067138672,230.67999267578125,236.8699951171875,45243300.0,228.1999969482422,235.22999572753906,228.1300048828125,232.6199951171875,53718400.0,229.57000732421875,230.58999633789062,227.1999969482422,227.64999389648438,33115600.0,232.3445476829273,233.74300400322835,227.0104008794231,227.3800048828125,39707200.0,231.0359788855247,233.54323203112875,230.17692277145878,232.9638671875,29925300.0,228.27901582634638,232.4144684638066,228.0193068583431,232.21469116210938,39620300.0,236.91000366210938
2025-02-14,244.60000610351562,245.5500030517578,240.99000549316406,241.25,40896200,2025,2,14,True,241.25,245.5500030517578,240.99000549316406,244.60000610351562,40896200,236.91000366210938,242.33999633789062,235.57000732421875,241.52999877929688,53614100.0,231.1999969482422,236.9600067138672,230.67999267578125,236.8699951171875,45243300.0,228.1999969482422,235.22999572753906,228.1300048828125,232.6199951171875,53718400.0,229.57000732421875,230.58999633789062,227.1999969482422,227.64999389648438,33115600.0,232.3445476829273,233.74300400322835,227.0104008794231,227.3800048828125,39707200.0,231.0359788855247,233.54323203112875,230.17692277145878,232.9638671875,29925300.0,241.25
2025-02-18,244.47000122070312,245.17999267578125,241.83999633789062,244.14999389648438,48822500,2025,2,18,True,244.14999389648438,245.17999267578125,241.83999633789062,244.47000122070312,48822500,241.25,245.5500030517578,240.99000549316406,244.60000610351562,40896200.0,236.91000366210938,242.33999633789062,235.57000732421875,241.52999877929688,53614100.0,231.1999969482422,236.9600067138672,230.67999267578125,236.8699951171875,45243300.0,228.1999969482422,235.22999572753906,228.1300048828125,232.6199951171875,53718400.0,229.57000732421875,230.58999633789062,227.1999969482422,227.64999389648438,33115600.0,232.3445476829273,233.74300400322835,227.0104008794231,227.3800048828125,39707200.0,244.14999389648438
2025-02-19,244.8699951171875,246.00999450683594,243.16000366210938,244.66000366210938,32204200,2025,2,19,True,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,32204200,244.14999389648438,245.17999267578125,241.83999633789062,244.47000122070312,48822500.0,241.25,245.5500030517578,240.99000549316406,244.60000610351562,40896200.0,236.91000366210938,242.33999633789062,235.57000732421875,241.52999877929688,53614100.0,231.1999969482422,236.9600067138672,230.67999267578125,236.8699951171875,45243300.0,228.1999969482422,235.22999572753906,228.1300048828125,232.6199951171875,53718400.0,229.57000732421875,230.58999633789062,227.1999969482422,227.64999389648438,33115600.0,244.66000366210938
2025-02-20,245.8300018310547,246.77999877929688,244.2899932861328,244.94000244140625,32316900,2025,2,20,True,244.94000244140625,246.77999877929688,244.2899932861328,245.8300018310547,32316900,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,32204200.0,244.14999389648438,245.17999267578125,241.83999633789062,244.47000122070312,48822500.0,241.25,245.5500030517578,240.99000549316406,244.60000610351562,40896200.0,236.91000366210938,242.33999633789062,235.57000732421875,241.52999877929688,53614100.0,231.1999969482422,236.9600067138672,230.67999267578125,236.8699951171875,45243300.0,228.1999969482422,235.22999572753906,228.1300048828125,232.6199951171875,53718400.0,244.94000244140625
2025-02-21,245.5500030517578,248.69000244140625,245.22000122070312,245.9499969482422,53197400,2025,2,21,True,245.9499969482422,248.69000244140625,245.22000122070312,245.5500030517578,53197400,244.94000244140625,246.77999877929688,244.2899932861328,245.8300018310547,32316900.0,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,32204200.0,244.14999389648438,245.17999267578125,241.83999633789062,244.47000122070312,48822500.0,241.25,245.5500030517578,240.99000549316406,244.60000610351562,40896200.0,236.91000366210938,242.33999633789062,235.57000732421875,241.52999877929688,53614100.0,231.1999969482422,236.9600067138672,230.67999267578125,236.8699951171875,45243300.0,245.9499969482422
2025-02-24,247.10000610351562,248.86000061035156,244.4199981689453,244.92999267578125,51326400,2025,2,24,True,244.92999267578125,248.86000061035156,244.4199981689453,247.10000610351562,51326400,245.9499969482422,248.69000244140625,245.22000122070312,245.5500030517578,53197400.0,244.94000244140625,246.77999877929688,244.2899932861328,245.8300018310547,32316900.0,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,32204200.0,244.14999389648438,245.17999267578125,241.83999633789062,244.47000122070312,48822500.0,241.25,245.5500030517578,240.99000549316406,244.60000610351562,40896200.0,236.91000366210938,242.33999633789062,235.57000732421875,241.52999877929688,53614100.0,244.92999267578125
2025-02-25,247.0399932861328,250.0,244.91000366210938,248.0,48013300,2025,2,25,False,248.0,250.0,244.91000366210938,247.0399932861328,48013300,244.92999267578125,248.86000061035156,244.4199981689453,247.10000610351562,51326400.0,245.9499969482422,248.69000244140625,245.22000122070312,245.5500030517578,53197400.0,244.94000244140625,246.77999877929688,244.2899932861328,245.8300018310547,32316900.0,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,32204200.0,244.14999389648438,245.17999267578125,241.83999633789062,244.47000122070312,48822500.0,241.25,245.5500030517578,240.99000549316406,244.60000610351562,40896200.0,248.0
2025-02-26,240.36000061035156,244.97999572753906,239.1300048828125,244.3300018310547,44433600,2025,2,26,False,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,44433600,248.0,250.0,244.91000366210938,247.0399932861328,48013300.0,244.92999267578125,248.86000061035156,244.4199981689453,247.10000610351562,51326400.0,245.9499969482422,248.69000244140625,245.22000122070312,245.5500030517578,53197400.0,244.94000244140625,246.77999877929688,244.2899932861328,245.8300018310547,32316900.0,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,32204200.0,244.14999389648438,245.17999267578125,241.83999633789062,244.47000122070312,48822500.0,244.3300018310547
2025-02-27,237.3000030517578,242.4600067138672,237.05999755859375,239.41000366210938,41153600,2025,2,27,True,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,41153600,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,44433600.0,248.0,250.0,244.91000366210938,247.0399932861328,48013300.0,244.92999267578125,248.86000061035156,244.4199981689453,247.10000610351562,51326400.0,245.9499969482422,248.69000244140625,245.22000122070312,245.5500030517578,53197400.0,244.94000244140625,246.77999877929688,244.2899932861328,245.8300018310547,32316900.0,244.66000366210938,246.00999450683594,243.16000366210938,244.8699951171875,32204200.0,239.41000366210938
2025-02-28,241.83999633789062,242.08999633789062,230.1999969482422,236.9499969482422,56833400,2025,2,28,False,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,56833400,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,41153600.0,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,44433600.0,248.0,250.0,244.91000366210938,247.0399932861328,48013300.0,244.92999267578125,248.86000061035156,244.4199981689453,247.10000610351562,51326400.0,245.9499969482422,248.69000244140625,245.22000122070312,245.5500030517578,53197400.0,244.94000244140625,246.77999877929688,244.2899932861328,245.8300018310547,32316900.0,236.9499969482422
2025-03-03,238.02999877929688,244.02999877929688,236.11000061035156,241.7899932861328,47184000,2025,3,3,False,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47184000,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,56833400.0,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,41153600.0,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,44433600.0,248.0,250.0,244.91000366210938,247.0399932861328,48013300.0,244.92999267578125,248.86000061035156,244.4199981689453,247.10000610351562,51326400.0,245.9499969482422,248.69000244140625,245.22000122070312,245.5500030517578,53197400.0,241.7899932861328
2025-03-04,235.92999267578125,240.07000732421875,234.67999267578125,237.7100067138672,53798100,2025,3,4,True,237.7100067138672,240.07000732421875,234.67999267578125,235.92999267578125,53798100,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47184000.0,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,56833400.0,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,41153600.0,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,44433600.0,248.0,250.0,244.91000366210938,247.0399932861328,48013300.0,244.92999267578125,248.86000061035156,244.4199981689453,247.10000610351562,51326400.0,237.7100067138672
2025-03-05,235.74000549316406,236.5500030517578,229.22999572753906,235.4199981689453,47227600,2025,3,5,True,235.4199981689453,236.5500030517578,229.22999572753906,235.74000549316406,47227600,237.7100067138672,240.07000732421875,234.67999267578125,235.92999267578125,53798100.0,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47184000.0,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,56833400.0,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,41153600.0,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,44433600.0,248.0,250.0,244.91000366210938,247.0399932861328,48013300.0,235.4199981689453
2025-03-06,235.3300018310547,237.86000061035156,233.16000366210938,234.44000244140625,45170400,2025,3,6,True,234.44000244140625,237.86000061035156,233.16000366210938,235.3300018310547,45170400,235.4199981689453,236.5500030517578,229.22999572753906,235.74000549316406,47227600.0,237.7100067138672,240.07000732421875,234.67999267578125,235.92999267578125,53798100.0,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47184000.0,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,56833400.0,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,41153600.0,244.3300018310547,244.97999572753906,239.1300048828125,240.36000061035156,44433600.0,234.44000244140625
2025-03-07,239.07000732421875,241.3699951171875,234.75999450683594,235.11000061035156,46273600,2025,3,7,False,235.11000061035156,241.3699951171875,234.75999450683594,239.07000732421875,46273600,234.44000244140625,237.86000061035156,233.16000366210938,235.3300018310547,45170400.0,235.4199981689453,236.5500030517578,229.22999572753906,235.74000549316406,47227600.0,237.7100067138672,240.07000732421875,234.67999267578125,235.92999267578125,53798100.0,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47184000.0,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,56833400.0,239.41000366210938,242.4600067138672,237.05999755859375,237.3000030517578,41153600.0,235.11000061035156
2025-03-10,227.47999572753906,236.16000366210938,224.22000122070312,235.5399932861328,72071200,2025,3,10,False,235.5399932861328,236.16000366210938,224.22000122070312,227.47999572753906,72071200,235.11000061035156,241.3699951171875,234.75999450683594,239.07000732421875,46273600.0,234.44000244140625,237.86000061035156,233.16000366210938,235.3300018310547,45170400.0,235.4199981689453,236.5500030517578,229.22999572753906,235.74000549316406,47227600.0,237.7100067138672,240.07000732421875,234.67999267578125,235.92999267578125,53798100.0,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47184000.0,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,56833400.0,235.5399932861328
2025-03-11,220.83999633789062,225.83999633789062,217.4499969482422,223.80999755859375,76137400,2025,3,11,False,223.80999755859375,225.83999633789062,217.4499969482422,220.83999633789062,76137400,235.5399932861328,236.16000366210938,224.22000122070312,227.47999572753906,72071200.0,235.11000061035156,241.3699951171875,234.75999450683594,239.07000732421875,46273600.0,234.44000244140625,237.86000061035156,233.16000366210938,235.3300018310547,45170400.0,235.4199981689453,236.5500030517578,229.22999572753906,235.74000549316406,47227600.0,237.7100067138672,240.07000732421875,234.67999267578125,235.92999267578125,53798100.0,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47184000.0,223.80999755859375
